"SITECODE","ORG_NAME","ORG_EMAIL","MANAG_CONSERV_MEASURES","MANAG_PLAN","MANAG_PLAN_URL","MANAG_STATUS","ORG_LOCATORNAME","ORG_DESIGNATOR","ORG_ADMINUNIT","ORG_POSTCODE","ORG_POSTNAME","ORG_ADRESS","ORG_ADDRESS_UNSTRUCTURED"
"ITA090004","","","","Piano di gestione approvato con prescrizione Pantani della Sicilia sud-orientale decreto n. 673 del 30/06/2009","","Y","","","","","","",""
"ITA090021","","","","Piano di gestione approvato con prescrizione Monti Iblei decreto n. 666 del 30/06/2009","","Y","","","","","","",""
"ITB023049","Regione Autonoma della Sardegna","difesa.ambiente@regione.sardegna.it","","","","N","","","","","","",""
"ITB030039","Regione Autonoma della Sardegna","difesa.ambiente@regione.sardegna.it","Piano di Gestione del SIC ITB030039 ""Isola Mal di Ventre"" approvato con decreto Regionale n. 97 del 26/11/2008.","Piano di Gestione del SIC ITB030039 ""Isola Mal di Ventre"" approvato con decreto Regionale n. 97 del 26/11/2008.","","Y","","","","","","",""
"ITB040018","Regione Autonoma della Sardegna","difesa.ambiente@regione.sardegna.it","Piano di Gestione del SIC ITB040018 ""Foce del Flumendosa-Sa Praia"" approvato con Decreto Regionale n. 9  del 28/02/2008. Decreto pubblicato su BURAS n. 21 del 28/06/2008.","Piano di Gestione del SIC ITB040018 ""Foce del Flumendosa-Sa Praia"" approvato con Decreto Regionale n. 9  del 28/02/2008. Decreto pubblicato su BURAS n. 21 del 28/06/2008.","http://buras.regione.sardegna.it/custom/frontend/viewPart.xhtml?partId=4ee5f3e3-8c20-45e9-9c8e-19b6571c32d8","Y","","","","","","",""
"ITB040023","Regione Autonoma della Sardegna","difesa.ambiente@regione.sardegna.it","Piano di Gestione del SIC ITB040023 ""Stagno di Cagliari, Saline di Macchiareddu, Laguna di S. Gilla"" approvato con Decreto Regionale n. 71  del 30/07/2008. Decreto pubblicato sul BURAS n. 30 del 25/09/2008.","Piano di Gestione del SIC ITB040023 ""Stagno di Cagliari, Saline di Macchiareddu, Laguna di S. Gilla"" approvato con Decreto Regionale n. 71  del 30/07/2008. Decreto pubblicato sul BURAS n. 30 del 25/09/2008.","http://buras.regione.sardegna.it/custom/frontend/viewPart.xhtml?partId=f1566057-71c1-4f28-a170-4abe3c32e673","Y","","","","","","",""
"ITB042242","Regione Autonoma della Sardegna","difesa.ambiente@regione.sardegna.it","Piano di Gestione del SIC ITB042242 ""Torre del Poetto"" e del SIC ITB042243 ""Monte Sant'Elia, Cala Mosca e Cala Fighera"", approvato con Decreto Regionale n. 3 del 11/02/2011. Decreto pubblicato su BURAS n. 11 del 08/04/2011.","Piano di Gestione del SIC ITB042242 ""Torre del Poetto"" e del SIC ITB042243 ""Monte Sant'Elia, Cala Mosca e Cala Fighera"", approvato con Decreto Regionale n. 3 del 11/02/2011. Decreto pubblicato su BURAS n. 11 del 08/04/2011.","http://buras.regione.sardegna.it/custom/frontend/viewPart.xhtml?partId=69b79160-a6f3-4724-b122-75b490431ebc","Y","","","","","","",""
"ITB043054","Regione Autonoma della Sardegna","difesa.ambiente@regione.sardegna.it","","","","N","","","","","","",""
"IT4070010","ENTI GESTORI: Ente di Gestione per i Parchi e la Biodiversità Delta del Po - Regione Emilia-Romagna","-","sono vigenti le Misure Specifiche di Conservazione e sono consultabili sul web: http://ambiente.regione.emilia-romagna.it/parchi-natura2000/rete-natura-2000/msc-pg","","","N","","","","","","","recapiti ed email consultabili sul web: http://ambiente.regione.emilia-romagna.it/parchi-natura2000/rete-natura-2000/enti"
"IT4070023","ENTE GESTORE: Regione Emilia-Romagna","-","Piani di Gestione e Misure Specifiche di Conservazione sono consultabili sul web: http://ambiente.regione.emilia-romagna.it/parchi-natura2000/rete-natura-2000/msc-pg","","","Y","","","","","","","recapiti ed email consultabili sul web: http://ambiente.regione.emilia-romagna.it/parchi-natura2000/rete-natura-2000/enti"
"IT4090005","ENTE GESTORE: Ente di Gestione per i Parchi e la Biodiversità Romagna","-","Piani di Gestione e Misure Specifiche di Conservazione sono consultabili sul web: http://ambiente.regione.emilia-romagna.it/parchi-natura2000/rete-natura-2000/msc-pg","","","Y","","","","","","","recapiti ed email consultabili sul web: http://ambiente.regione.emilia-romagna.it/parchi-natura2000/rete-natura-2000/enti"
"IT5120001","","","","","","N","","","","","","",""
"IT5120003","C.F.S., Ufficio Amministrazione Gestione Ex A.S.F.D. Viale G. Giusti 65, 55100 Lucca, Tel. 0583/955525.","","Piano di assestamento forestale","Piano di assestamento forestale","","N","","","","","","",""
"IT5140001","","","","","","P","","","","","","",""
"IT5160003","C.F.S. Ufficio Amministrazione Gestione ex A.S.F.D., Via Roma, 357023, Cecina. Tel. 0586/684220/684282","","Piano di assestamento forestale.","Piano di assestamento forestale.","","N","","","","","","",""
"IT5160010","","","","","","N","","","","","","",""
"IT5170002","Ente Parco Migliarino San Rossore Massaciuccoli, Palazzo degli Stalloni, Cascine Vecchie di San Rossore, I-56122 Pisa (PI). Tel. +39 050 539111.","","Piano del Parco approvato.","Piano del Parco approvato.","","N","","","","","","",""
"IT5170004","C.F.S., Ufficio Amministrazione Gestione ex A.S.F.D., via G. Giusti, 65, 55100, Lucca, tel. 0583/955525","","Piano di assestamento forestale.","Piano di assestamento forestale.","","N","","","","","","",""
"IT5180010","","","","","","N","","","","","","",""
"IT51A0001","Province di Siena e Grosseto.","","","","","N","","","","","","",""
"IT51A0008","C.F.S. Ufficio Amm.ne Gestione ex A.S.F.D., Via Bicocchi 2, 58022 Follonica (GR), 0566/40019.","","Piano di assestamento forestale.","Piano di assestamento forestale.","","N","","","","","","",""
"IT51A0032","W.W.F. Italia, Via Garigliano 57, 00198 Roma. Tel 06/844971; Direzione e Centro Visite; 58010 Capalbio Scalo (GR). Tel. 0564/898829.","","","","","N","","","","","","",""
"IT5210030","Regione Umbria","","","DGR N. 369/2012","","Y","","","","","","",""
"IT5210044","Regione Umbria","","","DGR N. 1448/2012","","Y","","","","","","",""
"IT5210068","Regione Umbria","","","DGR N. 1537/2012","","Y","","","","","","",""
"IT5210071","Ente Parco Nazionale Monti Sibillini","","","DGR N. 123/2013","","Y","","","","","","",""
"IT5310004","Ente Parco Naturale Interregionale del Sasso Simone e Simoncello ","info@parcosimone.it","Sono in vigore:  1) Misure di conservazione generali consultabili linkando a: - http://www.norme.marche.it/Delibere/2008/DGR1471_08.pdf- http://www.norme.marche.it/Delibere/2009/DGR1036_09.pdf2) Misure di conservazione sito-specifiche in attuazione degli accordi agroambientali d'area consultabili linkando a:- http://www.norme.marche.it/Delibere/2011/DGR1201_11.pdf3) Misure di conservazione definite nel Piano di gestione del Sito consultabili linkando a:- http://www.norme.marche.it/Delibere/2015/DGR0554_15.pdf- http://www.ambiente.marche.it/Ambiente/Natura/Infrastrutturaverde/Areefloristiche/Cartografia.aspx","Piano di gestione del sito Natura 2000 IT5310004 “Boschi del Carpegna”","http://www.norme.marche.it/Delibere/2015/DGR0554_15.pdf","Y","","","","","","","Via Rio Maggio, (61021) Carpegna, Tel. 0722/770073, fax 0722/770064"
"IT5310013","Provincia di Pesaro e Urbino","m.bartoli@provincia.ps.it","Sono in vigore:  1) Misure di conservazione generali consultabili linkando a: - http://www.norme.marche.it/Delibere/2008/DGR1471_08.pdf- http://www.norme.marche.it/Delibere/2009/DGR1036_09.pdf","","","P","","","","","","","Via Gramsci, 4 (61121) Pesaro Tel. 0721.700041, fax 0721/700057"
"IT5310015","Provincia di Pesaro e Urbino","m.bartoli@provincia.ps.it","Sono in vigore:  1) Misure di conservazione generali consultabili linkando a: - http://www.norme.marche.it/Delibere/2008/DGR1471_08.pdf- http://www.norme.marche.it/Delibere/2009/DGR1036_09.pdf","","","P","","","","","",""," Via Gramsci, 4 (61121) Pesaro Tel. 0721.700041, fax 0721/700057"
"IT5310031","Per il territorio della ZPS compreso in quello della Unione montana Ambito 2B: Unione montana Ambito n. 2 B del Catria e Nerone","cm.cagli@emarche.it","Sono in vigore:  1) Misure di conservazione generali consultabili linkando a: - http://www.norme.marche.it/Delibere/2008/DGR1471_08.pdf- http://www.norme.marche.it/Delibere/2009/DGR1036_09.pdf2) Misure di conservazione sito-specifiche in attuazione degli accordi agroambientali d'area consultabili linkando a:- http://www.norme.marche.it/Delibere/2011/DGR1202_11.pdf3)Si segnala inoltre la presenza di 8 aree floristiche istituite ai sensi dell'articolo 7 della L.R. 52/1974 e, più precisamente, ""Ponte Alto(Gola del Burano)"",""Monte Catria"",""Monte Acuto (Massiccio del Monte Catria)"", ""Prati dell'Infilatoio (Massiccio del Monte Catria)""""La Forchetta (Monte Catria)"", ""Ranco Pierello (Massiccio del Monte Catria)"", ""Prati di Tenetra (Massiccio del Monte Catria)""e ""Balze della Porrara (Monte Catria)""; la legge regionale dispone che in queste aree, soggette a tutela in quanto presenti specie floristiche rare o in via di estinzione, siano proibite la raccolta, l'estirpazione o il danneggiamento di tutte le piante spontanee. Sono comunque consentite le normali pratiche colturali nonché, negli incolti produttivi, il pascolo e la fienagione.I files shape dei perimetri delle aree floristiche possono essere scaricati linkando a:- http://www.ambiente.marche.it/Ambiente/Natura/Infrastrutturaverde/Areefloristiche/Cartografia.aspx","","","N","","","","","","","Ambito n. 2 B - Unione montana del Catria e Nerone Via L. Alessandri, 19 (61043) Cagli Tel. 0721.787431 - 0721.787752, fax 0721.787441"
"IT5310031","Per il territorio della ZPS compreso in quello dell'Unione montana Ambito 3: Ambito n. 3 - Unione montana dell’ Esino - Frasassi ","cm.fabriano@emarche.it","Sono in vigore:  1) Misure di conservazione generali consultabili linkando a: - http://www.norme.marche.it/Delibere/2008/DGR1471_08.pdf- http://www.norme.marche.it/Delibere/2009/DGR1036_09.pdf2) Misure di conservazione sito-specifiche in attuazione degli accordi agroambientali d'area consultabili linkando a:- http://www.norme.marche.it/Delibere/2011/DGR1202_11.pdf3)Si segnala inoltre la presenza di 8 aree floristiche istituite ai sensi dell'articolo 7 della L.R. 52/1974 e, più precisamente, ""Ponte Alto(Gola del Burano)"",""Monte Catria"",""Monte Acuto (Massiccio del Monte Catria)"", ""Prati dell'Infilatoio (Massiccio del Monte Catria)""""La Forchetta (Monte Catria)"", ""Ranco Pierello (Massiccio del Monte Catria)"", ""Prati di Tenetra (Massiccio del Monte Catria)""e ""Balze della Porrara (Monte Catria)""; la legge regionale dispone che in queste aree, soggette a tutela in quanto presenti specie floristiche rare o in via di estinzione, siano proibite la raccolta, l'estirpazione o il danneggiamento di tutte le piante spontanee. Sono comunque consentite le normali pratiche colturali nonché, negli incolti produttivi, il pascolo e la fienagione.I files shape dei perimetri delle aree floristiche possono essere scaricati linkando a:- http://www.ambiente.marche.it/Ambiente/Natura/Infrastrutturaverde/Areefloristiche/Cartografia.aspx","","","N","","","","","","","Via Dante, 268 (60044) Fabriano  Tel. 0732.6951 - 0732.6952,  fax   0732.695251"
"IT5320006","Ente Parco Naturale regionale del Conero","segreteria@parcodelconero.eu","Sono in vigore:  1) Misure di conservazione generali consultabili linkando a: - http://www.norme.marche.it/Delibere/2008/DGR1471_08.pdf - http://www.norme.marche.it/Delibere/2009/DGR1036_09.pdf2) Misure di conservazione definite nel Piano di gestione del Sito consultabili linkando a:- http://www.norme.marche.it/Delibere/2015/DGR0553_15.pdf3)Si segnala inoltre la presenza dell'area floristica ""Monte Conero"" istituita ai sensi dell'articolo 7 della L.R. 52/1974 il quale dispone che in questa area, soggetta a tutela in quanto presenti specie floristiche rare o in via di estinzione, sia proibita la raccolta, la estirpazione o il danneggiamento di tutte le piante spontanee. Sono comunque consentite le normali pratiche colturali nonché, negli incolti produttivi, il pascolo e la fienagione.Il file shape del perimetro dell'area floristica può essere scaricato linkando a:- http://www.ambiente.marche.it/Ambiente/Natura/Infrastrutturaverde/Areefloristiche/Cartografia.aspx","Piano di gestione del sito Natura 2000 IT5320006 “Portonovo e falesia calcarea a mare” ","http://www.norme.marche.it/Delibere/2015/DGR0553_15.pdf","Y","","","","","","","Via Peschiera, 30 (60020) Sirolo Tel. 071.9331161,  fax 071.9330376"
"IT5320016","Unione montana Ambito n. 3 dell’ Esino - Frasassi quale soggetto gestore del Parco Naturale regionale della Gola della Rossa e di Frasassi","info@parcogolarossa.it","Sono in vigore: 1) Misure di conservazione generali consultabili linkando a:  - http://www.norme.marche.it/Delibere/2008/DGR1471_08.pdf- http://www.norme.marche.it/Delibere/2009/DGR1036_09.pdf2) Misure di conservazione sito-specifiche in attuazione degli accordi agroambientali d'area consultabili linkando a:- http://www.norme.marche.it/Delibere/2012/DGR0036_12.pdf3) Misure di conservazione definite nel Piano di gestione del Sito consultabili linkando a:- http://www.norme.marche.it/Delibere/2015/DGR0583_15.pdf4)Si segnala inoltre la presenza dell'area floristica ""Valle Scappuccia"" istituita ai sensi dell'articolo 7 della L.R. 52/1974 il quale dispone che in questa area, soggetta a tutela in quanto presenti specie floristiche rare o in via di estinzione, sia proibita la raccolta, la estirpazione o il danneggiamento di tutte le piante spontanee. Sono comunque consentite le normali pratiche colturali nonché, negli incolti produttivi, il pascolo e la fienagione.Il file shape del perimetro dell'area floristica può essere scaricato linkando a:- http://www.ambiente.marche.it/Ambiente/Natura/Infrastrutturaverde/Areefloristiche/Cartografia.aspx","Piano di gestione del sito Natura 2000 IT5320016 “Valle Scappuccia”","http://www.norme.marche.it/Delibere/2015/DGR0583_15.pdf","Y","","","","","","","Via Marcellini, 5 (60048) Serra San Quirico tel. 0731.86122,  fax 0731.880030"
"IT5340001","Per il territorio della ZSC compreso in quello della Riserva naturale della Sentina: Comune di S. Benedetto del Tronto quale soggetto gestore della Riserva naturale regionale della Sentina","info@riservasentina.it","Sono in vigore:  1) Misure di conservazione generali consultabili linkando a: - http://www.norme.marche.it/Delibere/2008/DGR1471_08.pdf- http://www.norme.marche.it/Delibere/2009/DGR1036_09.pdf2) Misure di conservazione definite nel Piano di gestione della Riserva naturale della Sentina che, ai sensi dell'articolo 7 della deliberazione amministrativa dell'Assemblea legislativa delle Marche n° 156 del 14 dicembre 2004, ha valore anche di Piano di gestione del Sito;tali misure sono consultabili linkando a:- http://www.norme.marche.it/Delibere/2014/DGR0411_14.pdf3)Si segnala inoltre la presenza dell'area floristica ""Laghetti della Sentina"" istituita ai sensi dell'articolo 7 della L.R. 52/1974 il quale dispone che in questa area, soggetta a tutela in quanto presenti specie floristiche rare o in via di estinzione, sia proibita la raccolta, la estirpazione o il danneggiamento di tutte le piante spontanee. Sono comunque consentite le normali pratiche colturali nonché, negli incolti produttivi, il pascolo e la fienagione.Il file shape del perimetro dell'area floristica può essere scaricato linkando a:- http://www.ambiente.marche.it/Ambiente/Natura/Infrastrutturaverde/Areefloristiche/Cartografia.aspx","Piano di gestione della ZSC/ZPS IT5340001 ""Litorale di Porto d'Ascoli""","http://www.norme.marche.it/Delibere/2014/DGR0411_14.pdf","Y","","","","","","","Piazza Cesare Battisti, 1 (63039) San Benedetto del Tronto Tel. 0735.794278-9, fax. 0735.794277"
"IT5340001","Per il territorio della ZSC non compreso in quello della Riserva naturale della Sentina: Provincia di Ascoli Piceno Servizio Parchi ed Agricoltura","roberto.giovannozzi@provincia.ap.it","Sono in vigore:  1) Misure di conservazione generali consultabili linkando a: - http://www.norme.marche.it/Delibere/2008/DGR1471_08.pdf- http://www.norme.marche.it/Delibere/2009/DGR1036_09.pdf2) Misure di conservazione definite nel Piano di gestione della Riserva naturale della Sentina che, ai sensi dell'articolo 7 della deliberazione amministrativa dell'Assemblea legislativa delle Marche n° 156 del 14 dicembre 2004, ha valore anche di Piano di gestione del Sito;tali misure sono consultabili linkando a:- http://www.norme.marche.it/Delibere/2014/DGR0411_14.pdf3)Si segnala inoltre la presenza dell'area floristica ""Laghetti della Sentina"" istituita ai sensi dell'articolo 7 della L.R. 52/1974 il quale dispone che in questa area, soggetta a tutela in quanto presenti specie floristiche rare o in via di estinzione, sia proibita la raccolta, la estirpazione o il danneggiamento di tutte le piante spontanee. Sono comunque consentite le normali pratiche colturali nonché, negli incolti produttivi, il pascolo e la fienagione.Il file shape del perimetro dell'area floristica può essere scaricato linkando a:- http://www.ambiente.marche.it/Ambiente/Natura/Infrastrutturaverde/Areefloristiche/Cartografia.aspx","Piano di gestione della ZSC/ZPS IT5340001 ""Litorale di Porto d'Ascoli""","http://www.norme.marche.it/Delibere/2014/DGR0411_14.pdf","Y","","","","","","","Corso Mazzini,43 (63100) Ascoli Piceno"
"IT6000013","Regione Lazio - Direzione Infrastrutture, Ambiente e Politiche abitative","","","","","N","","","","","","","Viale del Tintoretto 432 - 00142 Roma"
"IT6000019","Regione Lazio - Direzione Infrastrutture, Ambiente e Politiche abitative","","","","","N","","","","","","","Viale del Tintoretto, 432 - 00142 Roma"
"IT6010024","Regione Lazio - Direzione Infrastrutture, Ambiente e Politiche abitative","","","Piano di Gestione ZPS ""Lago di Vico - Monte Venere e monte Fogliano"" (IT6010057), SIC ""Monte Fogliano e Monte Venere"" (IT6010023), SIC ""Lago di Vico"" (IT6010024)","http://","Y","","","","","","","Viale del Tintoretto, 432 - 00142 Roma"
"IT6010037","Regione Lazio - Direzione Infrastrutture, Ambiente e Politiche abitative","","","Piano di Gestione pSIC Il ""Quarto di Barbarano Romano"" IT6010037","http://","Y","","","","","","","Viale del Tintoretto, 432 - 00142 Roma"
"IT6010058","Regione Lazio - Direzione Infrastrutture, Ambiente e Politche abitative","","","","","N","","","","","","","Via del Tintoretto, 432 - 00142 Roma"
"IT6030018","Regione Lazio - Direzione Infrastrutture, Ambiente e Politiche abitative","","","Piano di Gestione e regolamentazione sostenibile dei SIC ""IT6030017 Maschio dell'Artemisio"" e ""IT6030018 CERQUONE - Doganella""","http://","Y","","","","","","","Viale del Tintoretto, 432 - 00142 Roma"
"IT6030032","Regione Lazio - Direzione Infrastrutture, Ambiente e Politiche abitative","","","Piani di Gestione ZPS IT6030029  ""Monti Lucretili""e pSIC IT6030030 ""Monte Gennaro (versante SW)"", IT6030031 ""Monte Pellecchia"", IT6030032 ""Torrente licenza ed affluenti""","http://","Y","","","","","","","Viale del Tintoretto, 432 - 00142 Roma"
"IT6030040","Regione Lazio - Direzione Infrastrutture, Ambiente e Politiche abitative","","","Piano di Gestione ZPS IT6050008 Monti Simbruini - Ernici e pSIC IT6030040 Monte Autore e Monti Simbruini - centrali, IT6050004 Monte Viglio ( area sommitale), IT6050005 Alta Valle del Fiume Aniene, IT6050007 Monte Traino e Tarinello (area sommitale), IT6050009 Campo Catino, IT6050010 Valle dell'Inferniglio, IT6050011 Monte Passeggio e Pizzo Deta ( versante SUD), IT6050012 Monte Passeggio e Pizzo Deta (area sommitale), IT6050016 Monte Ortara e Monte La Monna, IT6050029 Sorgenti dell'Aniene","http://","Y","","","","","","","Viale del Tintoretto, 432 - 00142 Roma"
"IT6040012","Regione Lazio - Direzione Infrastrutture, Ambiente e Politiche abitative","","","","","P","","","","","","","Viale del Tintoretto, 432 - 00142 Roma"
"IT6040013","Regione Lazio - Direzione Infrastrutture, Ambiente e Politiche abitative","","","","","P","","","","","","","Viale del Tintoretto, 432 - 00142 Roma"
"IT6050008","Regione Lazio - Direzione Infrastrutture, Ambiente e Politiche abitative","","","Piano di Gestione ZPS IT6050008 Monti Simbruini - Ernici e pSIC IT6030040 Monte Autore e Monti Simbruini - centrali, IT6050004 Monte Viglio ( area sommitale), IT6050005 Alta Valle del Fiume Aniene, IT6050007 Monte Traino e Tarinello (area sommitale), IT6050009 Campo Catino, IT6050010 Valle dell'Inferniglio, IT6050011 Monte Passeggio e Pizzo Deta ( versante SUD), IT6050012 Monte Passeggio e Pizzo Deta (area sommitale), IT6050016 Monte Ortara e Monte La Monna, IT6050029 Sorgenti dell'Aniene","http://","Y","","","","","","","Viale del Tintoretto, 432 - 00142 Roma"
"IT7110086","Comune di Ocre","","","","","P","","","","","","",""
"IT7110091","Comune di Capistrello","","","","","P","","","","","","",""
"IT7110202","Ente Parco nazionale Gran Sasso e Monti della Laga","","","","","P","","","","","","",""
"IT7110206","Ente Parco regionale Sirente-Velino ","","","","","P","","","","","","",""
"IT7120201","Ente Parco Gran Sasso e Monti della Laga","","","","","P","","","","","","",""
"IT7130024","Ente Parco nazionale del Gran Sasso e Monti della Laga","","","","","P","","","","","","",""
"IT7140115","Comunità Montana medio Sangro ""Zona R"" Quadri","","","","","P","","","","","","",""
"IT7212178","Regione Molise","","","","","P","","","","","","",""
"IT7222104","Regione Molise","","","","","P","","","","","","",""
"IT7222106","Regione Molise","","","","","P","","","","","","",""
"IT7222111","Regione Molise","","","","","P","","","","","","",""
"IT7222251","Regione Molise","","","","","P","","","","","","",""
"IT8010016","Regione Campania","","D.G.R. n. 2295/2007","","","N","","","","","","",""
"IT8020004","Regione Campania","","D.G.R. n. 2295/2007","","","N","","","","","","",""
"IT8020016","Regione Campania","","D.G.R. n. 2295/2007","Piano di gestione del SIC Sorgenti e alta Valle del Fortore","www.lifefortore.it","Y","","","","","","",""
"IT8030019","Regione Campania","","D.G.R. n. 2295/2007","","","N","","","","","","",""
"IT8050027","Regione Campania","","D.G.R. n. 2295/2007","","","N","","","","","","",""
"IT8050032","Regione Campania","","D.G.R. n. 2295/2007","Piano di Gestione","","Y","","","","","","",""
"IT9120007","Regione Puglia","","","","","N","","","","","","",""
"IT9140009","Regione Puglia","","","","","N","","","","","","",""
"IT9150024","Regione Puglia","","","","","N","","","","","","",""
"IT9150028","Regione Puglia","","","","","N","","","","","","",""
"IT9210130","PARCO NAZIONALE DEL POLLINO","","Il sito è sottoposto alle misure di conservazioni derivanti dall'applicazione dei Criteri minimi unformi (Decreto Ministeriale 17 Ottobre 2007)essendo il sito inserito per intero nella ZPS Massiccio del Pollino e Monte Alpi. Il sito, rientrando nel Parco Nazionale del Pollino, è sottoposto alle misure derivanti dalla applicazione della Legge n. 394/91. ","","","P","","","","","","","ROTONDA - PZ"
"IT9210170","","","","","","P","","","","","","",""
"IT9210220","","","DGR 951/2012 http://www.retecologicabasilicata.it/ambiente/site/portal/detail.jsp?sec=107282&otype=1012&id=10116","","","N","","","","","","",""
"IT9220055","La Riserva Regionale Bosco Pantano di Policoro è gestita dalla Provincia di Matera L' Oasi WWF ""Bosco Pantano"" è gestita dal WWF Basilicata","","DGR 951/2012 http://www.retecologicabasilicata.it/ambiente/site/portal/detail.jsp?sec=107282&otype=1012&id=10116","","","N","","","","","","",""
"IT9220144","","","DGR 30/2012 http://www.retecologicabasilicata.it/ambiente/site/portal/detail.jsp?sec=107282&otype=1012&id=10116","","","N","","","","","","",""
"IT9310004","Ente Parco Nazionale Pollino","ente@parcopollino.it","In preparazione","","","N","","","","","","","Complesso monumentale Santa Maria della Consolazione. 85048 Rotonda (PZ).Tel.0973/669311 "
"IT9310011","Ente Parco Nazionale Pollino. ","ente@parcopollino.it","In preparazione","","","N","","","","","","","Complesso monumentale Santa Maria della Consolazione. 85048 Rotonda (PZ).Tel.0973/669311"
"IT9310019","Ente Parco Nazionale Pollino.","ente@parcopollino.it","In preparazione","","","N","","","","","","","Complesso monumentale Santa Maria della Consolazione. 85048 Rotonda (PZ).Tel.0973/669311"
"IT9310022","Ente Parco Nazionale Pollino","ente@parcopollino.it","In preparazione","","","N","","","","","","","Complesso monumentale Santa Maria della Consolazione. 85048 Rotonda (PZ).Tel.0973/669311"
"IT9310023","Ente Parco Nazionale Pollino","ente@parcopollino.it","In preparazione","","","N","","","","","","","Complesso monumentale Santa Maria della Consolazione. 85048 Rotonda (PZ).Tel.0973/669311"
"IT9310040","Provincia di Cosenza","info@provincia.cs.it","da proporre","Piano di Gestione dei Siti di Importanza Comunitaria (SIC), Nazionale (SIN) e Regionale (SIR) della Rete “Natura 2000” nella Provincia di Cosenza – Relazioni e allegati cartografici. Provincia di Cosenza.  ","http://www.regione.calabria.it/ambiente/index.php?option=com_content&task=view&id=191&Itemid=79","Y","","","","","","","Piazza XV Marzo n. 5  87100 CosenzaTel: +39098426800"
"IT9310057","Museo di storia Naturale ed Orto Botanico, Università della Calabria,","ecologia@unical.it","Controllo attività antropiche","Piano di Gestione dei Siti di Importanza Comunitaria (SIC), Nazionale (SIN) e Regionale (SIR) della Rete “Natura 2000” nella Provincia di Cosenza – Relazioni e allegati cartografici. Provincia di Cosenza.","www.regione.calabria.it/ambiente/index.php?option=com_content&task=view&id=191&Itemid=79","Y","","","","","","","Via P. Bucci 87030 Arcavacata di rende(CS) Tel. 0984/838573"
"IT9310077","Ente Parco Nazionale della Sila","parcosila@pec.it","MISURE DI CONSERVAZIONE PER I SITI NATURA 2000 INCLUSI NEL PARCO NAZIONALE DELLA SILA. Luglio 2010.","","","N","","","","","","","Via Nazionale, 87055 Lorica San Giovanni in Fiore (CS) Tel. 0984 537109"
"IT9320111","Provincia di Crotone","protocollogenerale@pec.provincia.crotone.it","da proporre","Piano di Gestione dei Siti Natura 2000, nella Provincia di Crotone, di cui al D.M. 03.04.2000, individuati ai sensi delle Direttive 92/43/CEE e 79/409/CEE. Provincia di Crotone (2009).","http://www.regione.calabria.it/ambiente/index.php?option=com_content&task=view&id=195&Itemid=81","Y","","","","","","","Via M. Nicoletta, 28 88900 CrotoneTel. +39 0962952111"
"IT1110047","","","","","","P","","","","","","",""
"IT1160071","","","","","","N","","","","","","",""
"IT1203030","Assessorato Agricoltura e Risorse Naturali","","","","","N","","","","","","",""
"IT3210041","Comunità Montana del Baldo","","","Piano di Gestione esistente","","Y","","","","","","",""
"IT3210039","Comunità Montana del Baldo","","","Piano di Gestione esistente","http://www.yumpu.com/it/document/view/15005304/piano-di-gestione-baldo-ovest-comunita-montana-del-baldo","Y","","","","","","",""
"IT3220008","","","","","","N","","","","","","",""
"IT3220037","","","","","","N","","","","","","",""
"IT1202020","","","","","","N","","","","","","",""
"IT1110044","","","Misure di conservazione per la tutela della Rete Natura 2000 del Piemonte - approvate con D.G.R. n. 54-7409 del 7/4/2014, e successive modifiche - Misure di conservazione sito-specifiche approvate con D.G.R. n. 19-3112 del 4/4/2016","","","N","","","","","","",""
"IT1315973","Regione Liguria",""," le misure di conservazione sono state adottate dalla Regione Liguria con DGR 1459/2014; è in corso l'iter di approvazione","","","N","","","","","","","Via Fieschi, 15 - 16121 Genova"
"IT1316274","Regione Liguria",""," le misure di conservazione sono state adottate dalla Regione Liguria con DGR 1459/2014; è in corso l'iter di approvazione","","","N","","","","","","","Via Fieschi, 15 - 16121 Genova"
"IT1110002","Ente di gestione delle Aree Protette del Po Torinese","info.parcopotorinese@inrete.it","Misure di conservazione per la tutela della Rete Natura 2000 del Piemonte approvate con D.G.R. n. 54-7409 del 7/4/2014, e successive modifiche - Misure di conservazione sito specifiche approvate con D.G.R. n. 26-3013 del 7/3/2016","","","N","","","","","","","Corso Trieste, 98 - 10024 Moncalieri  TO"
"IT1110006","Ente di gestione delle aree protette delle Alpi Cozie","info.alpicozie@ruparpiemonte.it","","","","N","","","","","","","Via Fransuà Fontan, 1 - 10050 Salbertrand  TO"
"IT1110008","Ente di gestione delle Aree protette dell'Area Metropolitana di Torino","protocollo@parchiareametropolitana.to.it","","","","N","","","","","","","V.le C. Emanuele II, 256 - 10078 Venaria TO"
"IT1110016","Ente di gestione delle Aree Protette del Po e della Collina Torinese","info.parcopotorinese@inrete.it","","","","P","","","","","","","Corso Trieste, 98 - 10024 Moncalieri  TO"
"IT1160065","","","","","","N","","","","","","",""
"IT1110018","Ente di gestione delle Aree Protette del Po e della Collina Torinese","info.parcopotorinese@inrete.it","","","","P","","","","","","","Corso Trieste, 98 - 10024 Moncalieri  TO"
"IT1110020","","","","","","P","","","","","","",""
